ID,Construction_ID,Parameter_ID,Code_ID,Value,Comment
78-rmform,78,rmform,,hur,
78-ncases,78,ncases,ncases-0,0,
78-nclass,78,nclass,nclass-0,0,
78-nnumber,78,nnumber,nnumber-0,0,
78-int,78,int,int-yes,yes,
78-origin,78,origin,origin-kw,KW,
78-comp,78,comp,comp-no,no,
78-genre,78,genre,genre-spoken,spoken,
79-rmform,79,rmform,,diar,
79-ncases,79,ncases,ncases-0,0,
79-nclass,79,nclass,nclass-0,0,
79-nnumber,79,nnumber,nnumber-0,0,
79-int,79,int,int-no,no,
79-origin,79,origin,origin-na,NA,
79-comp,79,comp,comp-no,no,
79-genre,79,genre,genre-spoken,spoken,
80-rmform,80,rmform,,hos ~ hē ~ ho,the comp. is based on the indef.rel. n 
80-ncases,80,ncases,ncases-4,4,
80-nclass,80,nclass,nclass-3,3,
80-nnumber,80,nnumber,nnumber-2,2,
80-int,80,int,int-no,no,
80-origin,80,origin,origin-to,TO,
80-comp,80,comp,comp-no,no,
80-genre,80,genre,genre-written,written,
81-rmform,81,rmform,,tís ~ tí,examples of full clauses missing
81-ncases,81,ncases,ncases-3,3,
81-nclass,81,nclass,nclass-2,2,
81-nnumber,81,nnumber,nnumber-2,2,
81-int,81,int,int-yes,yes,
81-origin,81,origin,origin-kw,KW,
81-comp,81,comp,comp-no,no,
81-genre,81,genre,genre-written,written,
82-rmform,82,rmform,,ton ~ tēn ~ to,examples of full clauses missing
82-ncases,82,ncases,ncases-2,2,
82-nclass,82,nclass,nclass-3,3,
82-nnumber,82,nnumber,nnumber-2,2,
82-int,82,int,int-no,no,
82-origin,82,origin,origin-to,TO,
82-comp,82,comp,comp-no,no,
82-genre,82,genre,genre-written,written,
83-rmform,83,rmform,,hostis ~ hētis ~ hoti,
83-ncases,83,ncases,ncases-3,3,
83-nclass,83,nclass,nclass-3,3,
83-nnumber,83,nnumber,nnumber-2,2,
83-int,83,int,int-related,related,
83-origin,83,origin,origin-yokw,YO+KW,
83-comp,83,comp,comp-yes,yes,
83-genre,83,genre,genre-written,written,
84-rmform,84,rmform,,pou,
84-ncases,84,ncases,ncases-0,0,
84-nclass,84,nclass,nclass-0,0,
84-nnumber,84,nnumber,nnumber-0,0,
84-int,84,int,int-yes,yes,
84-origin,84,origin,origin-kw,KW,
84-comp,84,comp,comp-yes,yes,
84-genre,84,genre,genre-both,both,
85-rmform,85,rmform,,o opoios ~ i opoia ~ to opoio,
85-ncases,85,ncases,ncases-3,3,
85-nclass,85,nclass,nclass-3,3,
85-nnumber,85,nnumber,nnumber-2,2,
85-int,85,int,int-related,related,
85-origin,85,origin,origin-tokw,TO+KW,
85-comp,85,comp,comp-yes,yes,
85-genre,85,genre,genre-written,written,
86-rmform,86,rmform,,yáḥ ~ yā́ ~ yát,
86-ncases,86,ncases,ncases-7,7,
86-nclass,86,nclass,nclass-3,3,
86-nnumber,86,nnumber,nnumber-3,3,
86-int,86,int,int-no,no,
86-origin,86,origin,origin-yo,YO,
86-comp,86,comp,comp-no,no,
86-genre,86,genre,genre-written,written,
87-rmform,87,rmform,,yo ~ ya ~ yaṃ,"no examples of full clauses, nothing about complementizer"
87-ncases,87,ncases,ncases-6,6,
87-nclass,87,nclass,nclass-3,3,
87-nnumber,87,nnumber,nnumber-2,2,
87-int,87,int,int-no,no,
87-origin,87,origin,origin-yo,YO,
87-comp,87,comp,comp-na,NA,
87-genre,87,genre,genre-written,written,
88-rmform,88,rmform,,je,also a comp. that is =INT
88-ncases,88,ncases,ncases-5,5,
88-nclass,88,nclass,nclass-3,3,
88-nnumber,88,nnumber,nnumber-2,2,
88-int,88,int,int-no,no,
88-origin,88,origin,origin-yo,YO,
88-comp,88,comp,comp-yes,yes,
88-genre,88,genre,genre-spoken,spoken,
89-rmform,89,rmform,,illi,"RC and CC structure borrowed from Arabic, preposed"
89-ncases,89,ncases,ncases-0,0,
89-nclass,89,nclass,nclass-0,0,
89-nnumber,89,nnumber,nnumber-0,0,
89-int,89,int,int-no,no,
89-origin,89,origin,origin-l,L,
89-comp,89,comp,comp-no,no,
89-genre,89,genre,genre-spoken,spoken,
90-rmform,90,rmform,,jo,the comp. ki seems related to the interrogative pron.
90-ncases,90,ncases,ncases-3,3,
90-nclass,90,nclass,nclass-0,0,
90-nnumber,90,nnumber,nnumber-2,2,
90-int,90,int,int-no,no,
90-origin,90,origin,origin-yo,YO,
90-comp,90,comp,comp-no,no,
90-genre,90,genre,genre-spoken,spoken,
91-rmform,91,rmform,,kaj,the who/what are inflected!; comp. = when I think
91-ncases,91,ncases,ncases-0,0,
91-nclass,91,nclass,nclass-0,0,
91-nnumber,91,nnumber,nnumber-0,0,
91-int,91,int,int-yes,yes,
91-origin,91,origin,origin-kw,KW,
91-comp,91,comp,comp-yes,yes,
91-genre,91,genre,genre-spoken,spoken,
92-rmform,92,rmform,,yo,
92-ncases,92,ncases,ncases-7,7,
92-nclass,92,nclass,nclass-2,2,
92-nnumber,92,nnumber,nnumber-2,2,
92-int,92,int,int-no,no,
92-origin,92,origin,origin-yo,YO,
92-comp,92,comp,comp-na,NA,
92-genre,92,genre,genre-written,written,
93-rmform,93,rmform,,NA,these are non-finite forms!
93-ncases,93,ncases,ncases-0,0,
93-nclass,93,nclass,nclass-0,0,
93-nnumber,93,nnumber,nnumber-0,0,
93-int,93,int,int-no,no,
93-origin,93,origin,origin-na,NA,
93-comp,93,comp,comp-yes,yes,
93-genre,93,genre,genre-spoken,spoken,
94-rmform,94,rmform,,ye(-) ~ ya(-),"meanings like 'where', 'when' are formed by adding recurring elements to the forms given here"
94-ncases,94,ncases,ncases-3,3,
94-nclass,94,nclass,nclass-2,2,
94-nnumber,94,nnumber,nnumber-2,2,
94-int,94,int,int-no,no,
94-origin,94,origin,origin-yo,YO,
94-comp,94,comp,comp-yes,yes,
94-genre,94,genre,genre-spoken,spoken,
95-rmform,95,rmform,,je ~ jaha,
95-ncases,95,ncases,ncases-5,5,
95-nclass,95,nclass,nclass-2,2,
95-nnumber,95,nnumber,nnumber-2,2,
95-int,95,int,int-no,no,
95-origin,95,origin,origin-yo,YO,
95-comp,95,comp,comp-yes,yes,
95-genre,95,genre,genre-spoken,spoken,
96-rmform,96,rmform,,jo ~ je,participles default
96-ncases,96,ncases,ncases-2,2,
96-nclass,96,nclass,nclass-2,2,
96-nnumber,96,nnumber,nnumber-2,2,
96-int,96,int,int-no,no,
96-origin,96,origin,origin-yo,YO,
96-comp,96,comp,comp-na,NA,
96-genre,96,genre,genre-written,written,
97-rmform,97,rmform,,ki ~ kyaa,also non-finite RC and comp.
97-ncases,97,ncases,ncases-0,0,
97-nclass,97,nclass,nclass-0,0,
97-nnumber,97,nnumber,nnumber-0,0,
97-int,97,int,int-yes,yes,
97-origin,97,origin,origin-kw,KW,
97-comp,97,comp,comp-no,no,
97-genre,97,genre,genre-spoken,spoken,
98-rmform,98,rmform,,jo ~ jā,comp. situation probably similar to Kashmiri
98-ncases,98,ncases,ncases-2,2,
98-nclass,98,nclass,nclass-2,2,
98-nnumber,98,nnumber,nnumber-2,2,
98-int,98,int,int-no,no,
98-origin,98,origin,origin-yo,YO,
98-comp,98,comp,comp-na,NA,
98-genre,98,genre,genre-spoken,spoken,
99-rmform,99,rmform,,yus ~ yɔsɪ ~ yi,the int. pron. can be used in comp. clauses
99-ncases,99,ncases,ncases-4,4,
99-nclass,99,nclass,nclass-3,3,
99-nnumber,99,nnumber,nnumber-2,2,
99-int,99,int,int-no,no,
99-origin,99,origin,origin-yo,YO,
99-comp,99,comp,comp-no,no,
99-genre,99,genre,genre-spoken,spoken,
100-rmform,100,rmform,,yo ~ ye ~ yeṃ,"no examples of full clauses, nothing about complementizer"
100-ncases,100,ncases,ncases-4,4,
100-nclass,100,nclass,nclass-3,3,
100-nnumber,100,nnumber,nnumber-2,2,
100-int,100,int,int-no,no,
100-origin,100,origin,origin-yo,YO,
100-comp,100,comp,comp-na,NA,
100-genre,100,genre,genre-written,written,
101-rmform,101,rmform,,jo ~ ji ~ je,comp. is ki
101-ncases,101,ncases,ncases-2,2,
101-nclass,101,nclass,nclass-3,3,
101-nnumber,101,nnumber,nnumber-2,2,
101-int,101,int,int-no,no,
101-origin,101,origin,origin-yo,YO,
101-comp,101,comp,comp-no,no,
101-genre,101,genre,genre-spoken,spoken,
102-rmform,102,rmform,,jo,
102-ncases,102,ncases,ncases-na,NA,
102-nclass,102,nclass,nclass-na,NA,
102-nnumber,102,nnumber,nnumber-na,NA,
102-int,102,int,int-no,no,
102-origin,102,origin,origin-yo,YO,
102-comp,102,comp,comp-no,no,
102-genre,102,genre,genre-spoken,spoken,
103-rmform,103,rmform,,khanco,
103-ncases,103,ncases,ncases-na,NA,
103-nclass,103,nclass,nclass-na,NA,
103-nnumber,103,nnumber,nnumber-na,NA,
103-int,103,int,int-yes,yes,
103-origin,103,origin,origin-kw,KW,
103-comp,103,comp,comp-no,no,
103-genre,103,genre,genre-spoken,spoken,
104-rmform,104,rmform,,hiiat̰ ~ yat̰,
104-ncases,104,ncases,ncases-7,7,
104-nclass,104,nclass,nclass-3,3,
104-nnumber,104,nnumber,nnumber-2,2,
104-int,104,int,int-no,no,
104-origin,104,origin,origin-yo,YO,
104-comp,104,comp,comp-no,no,
104-genre,104,genre,genre-written,written,
105-rmform,105,rmform,,tsə(y),
105-ncases,105,ncases,ncases-0,0,
105-nclass,105,nclass,nclass-0,0,
105-nnumber,105,nnumber,nnumber-0,0,
105-int,105,int,int-related,related,
105-origin,105,origin,origin-na,NA,
105-comp,105,comp,comp-yes,yes,
105-genre,105,genre,genre-spoken,spoken,
106-rmform,106,rmform,,ki,borrowed from Tajik
106-ncases,106,ncases,ncases-0,0,
106-nclass,106,nclass,nclass-0,0,
106-nnumber,106,nnumber,nnumber-0,0,
106-int,106,int,int-related,related,
106-origin,106,origin,origin-l,L,
106-comp,106,comp,comp-yes,yes,
106-genre,106,genre,genre-spoken,spoken,
107-rmform,107,rmform,,kē,
107-ncases,107,ncases,ncases-0,0,
107-nclass,107,nclass,nclass-0,0,
107-nnumber,107,nnumber,nnumber-0,0,
107-int,107,int,int-yes,yes,
107-origin,107,origin,origin-kw,KW,
107-comp,107,comp,comp-no,no,
107-genre,107,genre,genre-written,written,
108-rmform,108,rmform,,ki ~ ci,interrogatives add the question marker a-
108-ncases,108,ncases,ncases-0,0,
108-nclass,108,nclass,nclass-2,2,
108-nnumber,108,nnumber,nnumber-0,0,
108-int,108,int,int-yes,yes,
108-origin,108,origin,origin-kw,KW,
108-comp,108,comp,comp-no,no,
108-genre,108,genre,genre-written,written,
109-rmform,109,rmform,,ke,sort of mirror image of correlatives
109-ncases,109,ncases,ncases-3,3,
109-nclass,109,nclass,nclass-2,2,
109-nnumber,109,nnumber,nnumber-0,0,
109-int,109,int,int-yes,yes,
109-origin,109,origin,origin-kw,KW,
109-comp,109,comp,comp-no,no,
109-genre,109,genre,genre-written,written,
110-rmform,110,rmform,,ču,sort of mirror image of correlatives
110-ncases,110,ncases,ncases-0,0,
110-nclass,110,nclass,nclass-0,0,
110-nnumber,110,nnumber,nnumber-0,0,
110-int,110,int,int-yes,yes,
110-origin,110,origin,origin-kw,KW,
110-comp,110,comp,comp-no,no,
110-genre,110,genre,genre-written,written,
111-rmform,111,rmform,,ku,
111-ncases,111,ncases,ncases-0,0,
111-nclass,111,nclass,nclass-0,0,
111-nnumber,111,nnumber,nnumber-0,0,
111-int,111,int,int-yes,yes,
111-origin,111,origin,origin-kw,KW,
111-comp,111,comp,comp-yes,yes,
111-genre,111,genre,genre-spoken,spoken,
112-rmform,112,rmform,,ki,
112-ncases,112,ncases,ncases-2,2,
112-nclass,112,nclass,nclass-0,0,
112-nnumber,112,nnumber,nnumber-0,0,
112-int,112,int,int-related,related,
112-origin,112,origin,origin-kw,KW,
112-comp,112,comp,comp-yes,yes,
112-genre,112,genre,genre-spoken,spoken,
113-rmform,113,rmform,,ki ~ či,
113-ncases,113,ncases,ncases-2,2,
113-nclass,113,nclass,nclass-2,2,
113-nnumber,113,nnumber,nnumber-0,0,
113-int,113,int,int-yes,yes,
113-origin,113,origin,origin-kw,KW,
113-comp,113,comp,comp-yes,yes,
113-genre,113,genre,genre-spoken,spoken,
114-rmform,114,rmform,,či/cy ~ ka/ci,compl. is only one of several strategies
114-ncases,114,ncases,ncases-8,8,
114-nclass,114,nclass,nclass-2,2,
114-nnumber,114,nnumber,nnumber-2,2,
114-int,114,int,int-yes,yes,
114-origin,114,origin,origin-kw,KW,
114-comp,114,comp,comp-no,no,
114-genre,114,genre,genre-spoken,spoken,
115-rmform,115,rmform,,ki,interrogatives are not the same but clearly related
115-ncases,115,ncases,ncases-0,0,
115-nclass,115,nclass,nclass-0,0,
115-nnumber,115,nnumber,nnumber-0,0,
115-int,115,int,int-relatedmaybe,relatedmaybe,
115-origin,115,origin,origin-kw,KW,
115-comp,115,comp,comp-yes,yes,
115-genre,115,genre,genre-spoken,spoken,
116-rmform,116,rmform,,ki ~ ke,"the human interrog. is identical, so might this be pattern borrowing?"
116-ncases,116,ncases,ncases-0,0,
116-nclass,116,nclass,nclass-0,0,
116-nnumber,116,nnumber,nnumber-0,0,
116-int,116,int,int-yes,yes,
116-origin,116,origin,origin-kw,KW,
116-comp,116,comp,comp-yes,yes,
116-genre,116,genre,genre-spoken,spoken,
117-rmform,117,rmform,,če,
117-ncases,117,ncases,ncases-0,0,
117-nclass,117,nclass,nclass-0,0,
117-nnumber,117,nnumber,nnumber-0,0,
117-int,117,int,int-yes,yes,
117-origin,117,origin,origin-kw,KW,
117-comp,117,comp,comp-yes,yes,
117-genre,117,genre,genre-spoken,spoken,
118-rmform,118,rmform,,čǝ,
118-ncases,118,ncases,ncases-0,0,
118-nclass,118,nclass,nclass-0,0,
118-nnumber,118,nnumber,nnumber-0,0,
118-int,118,int,int-related,related,
118-origin,118,origin,origin-kw,KW,
118-comp,118,comp,comp-yes,yes,
118-genre,118,genre,genre-spoken,spoken,
119-rmform,119,rmform,,kye/i ~ ce/i ~ cu,no information on complementation
119-ncases,119,ncases,ncases-2,2,
119-nclass,119,nclass,nclass-2,2,
119-nnumber,119,nnumber,nnumber-0,0,
119-int,119,int,int-yes,yes,
119-origin,119,origin,origin-kw,KW,
119-comp,119,comp,comp-na,NA,
119-genre,119,genre,genre-written,written,
120-rmform,120,rmform,,haya ~ hayā ~ taya,
120-ncases,120,ncases,ncases-4,4,
120-nclass,120,nclass,nclass-3,3,
120-nnumber,120,nnumber,nnumber-2,2,
120-int,120,int,int-no,no,
120-origin,120,origin,origin-toyo,TO+YO,
120-comp,120,comp,comp-yes,yes,
120-genre,120,genre,genre-written,written,
121-rmform,121,rmform,,kē ~ čē,
121-ncases,121,ncases,ncases-0,0,
121-nclass,121,nclass,nclass-2,2,
121-nnumber,121,nnumber,nnumber-0,0,
121-int,121,int,int-yes,yes,
121-origin,121,origin,origin-kw,KW,
121-comp,121,comp,comp-no,no,
121-genre,121,genre,genre-written,written,
122-rmform,122,rmform,,ke,
122-ncases,122,ncases,ncases-0,0,
122-nclass,122,nclass,nclass-0,0,
122-nnumber,122,nnumber,nnumber-0,0,
122-int,122,int,int-yes,yes,
122-origin,122,origin,origin-kw,KW,
122-comp,122,comp,comp-yes,yes,
122-genre,122,genre,genre-spoken,spoken,
123-rmform,123,rmform,,ki,
123-ncases,123,ncases,ncases-0,0,
123-nclass,123,nclass,nclass-0,0,
123-nnumber,123,nnumber,nnumber-0,0,
123-int,123,int,int-yes,yes,
123-origin,123,origin,origin-kw,KW,
123-comp,123,comp,comp-yes,yes,
123-genre,123,genre,genre-spoken,spoken,
124-rmform,124,rmform,,ke,only the human form overlaps in one variant
124-ncases,124,ncases,ncases-0,0,
124-nclass,124,nclass,nclass-0,0,
124-nnumber,124,nnumber,nnumber-0,0,
124-int,124,int,int-yes,yes,
124-origin,124,origin,origin-kw,KW,
124-comp,124,comp,comp-yes,yes,
124-genre,124,genre,genre-spoken,spoken,
125-rmform,125,rmform,,ho ,
125-ncases,125,ncases,ncases-0,0,
125-nclass,125,nclass,nclass-0,0,
125-nnumber,125,nnumber,nnumber-0,0,
125-int,125,int,int-no,no,
125-origin,125,origin,origin-na,NA,
125-comp,125,comp,comp-yes,yes,
125-genre,125,genre,genre-written,written,
126-rmform,126,rmform,,sta,appears with all postnominal N modifiers
126-ncases,126,ncases,ncases-0,0,
126-nclass,126,nclass,nclass-0,0,
126-nnumber,126,nnumber,nnumber-0,0,
126-int,126,int,int-no,no,
126-origin,126,origin,origin-na,NA,
126-comp,126,comp,comp-no,no,
126-genre,126,genre,genre-both,both,
127-rmform,127,rmform,,poe ~ NA ~ NA,
127-ncases,127,ncases,ncases-5,5,
127-nclass,127,nclass,nclass-3,3,
127-nnumber,127,nnumber,nnumber-2,2,
127-int,127,int,int-related,related,
127-origin,127,origin,origin-kw,KW,
127-comp,127,comp,comp-na,NA,
127-genre,127,genre,genre-written,written,
128-rmform,128,rmform,,pui ~ púd ~ paí,
128-ncases,128,ncases,ncases-5,5,
128-nclass,128,nclass,nclass-3,3,
128-nnumber,128,nnumber,nnumber-2,2,
128-int,128,int,int-related,related,
128-origin,128,origin,origin-kw,KW,
128-comp,128,comp,comp-na,NA,
128-genre,128,genre,genre-written,written,
129-rmform,129,rmform,,quī ~ quae ~ quod,
129-ncases,129,ncases,ncases-5,5,
129-nclass,129,nclass,nclass-3,3,
129-nnumber,129,nnumber,nnumber-2,2,
129-int,129,int,int-related,related,
129-origin,129,origin,origin-kw,KW,
129-comp,129,comp,comp-no,no,
129-genre,129,genre,genre-written,written,
130-rmform,130,rmform,,qui ~ que,
130-ncases,130,ncases,ncases-2,2,
130-nclass,130,nclass,nclass-2,2,
130-nnumber,130,nnumber,nnumber-0,0,
130-int,130,int,int-yes,yes,
130-origin,130,origin,origin-kw,KW,
130-comp,130,comp,comp-yes,yes,
130-genre,130,genre,genre-written,written,
131-rmform,131,rmform,,qui ~ quien ~ que,"no ex. of full clauses, not entirely sure about comp"
131-ncases,131,ncases,ncases-0,0,
131-nclass,131,nclass,nclass-2,2,
131-nnumber,131,nnumber,nnumber-0,0,
131-int,131,int,int-yes,yes,
131-origin,131,origin,origin-kw,KW,
131-comp,131,comp,comp-yes,yes,
131-genre,131,genre,genre-written,written,
132-rmform,132,rmform,,cuyo ~ cuya,
132-ncases,132,ncases,ncases-0,0,
132-nclass,132,nclass,nclass-2,2,
132-nnumber,132,nnumber,nnumber-0,0,
132-int,132,int,int-yes,yes,
132-origin,132,origin,origin-kw,KW,
132-comp,132,comp,comp-yes,yes,
132-genre,132,genre,genre-written,written,
133-rmform,133,rmform,,che,
133-ncases,133,ncases,ncases-2,2,
133-nclass,133,nclass,nclass-0,0,
133-nnumber,133,nnumber,nnumber-0,0,
133-int,133,int,int-yes,yes,
133-origin,133,origin,origin-kw,KW,
133-comp,133,comp,comp-yes,yes,
133-genre,133,genre,genre-spoken,spoken,
134-rmform,134,rmform,,quale,
134-ncases,134,ncases,ncases-0,0,
134-nclass,134,nclass,nclass-0,0,
134-nnumber,134,nnumber,nnumber-2,2,
134-int,134,int,int-yes,yes,
134-origin,134,origin,origin-kw,KW,
134-comp,134,comp,comp-no,no,
134-genre,134,genre,genre-both,both,
135-rmform,135,rmform,,che,
135-ncases,135,ncases,ncases-0,0,
135-nclass,135,nclass,nclass-0,0,
135-nnumber,135,nnumber,nnumber-0,0,
135-int,135,int,int-yes,yes,
135-origin,135,origin,origin-kw,KW,
135-comp,135,comp,comp-yes,yes,
135-genre,135,genre,genre-spoken,spoken,
136-rmform,136,rmform,,qui,
136-ncases,136,ncases,ncases-2,2,
136-nclass,136,nclass,nclass-0,0,
136-nnumber,136,nnumber,nnumber-0,0,
136-int,136,int,int-yes,yes,
136-origin,136,origin,origin-kw,KW,
136-comp,136,comp,comp-yes,yes,
136-genre,136,genre,genre-both,both,
137-rmform,137,rmform,,dont,
137-ncases,137,ncases,ncases-0,0,
137-nclass,137,nclass,nclass-0,0,
137-nnumber,137,nnumber,nnumber-0,0,
137-int,137,int,int-no,no,
137-origin,137,origin,origin-na,NA,
137-comp,137,comp,comp-no,no,
137-genre,137,genre,genre-both,both,
138-rmform,138,rmform,,que,
138-ncases,138,ncases,ncases-0,0,
138-nclass,138,nclass,nclass-0,0,
138-nnumber,138,nnumber,nnumber-0,0,
138-int,138,int,int-yes,yes,
138-origin,138,origin,origin-kw,KW,
138-comp,138,comp,comp-yes,yes,
138-genre,138,genre,genre-spoken,spoken,
139-rmform,139,rmform,,que ~ quien,
139-ncases,139,ncases,ncases-0,0,
139-nclass,139,nclass,nclass-2,2,
139-nnumber,139,nnumber,nnumber-0,0,
139-int,139,int,int-yes,yes,
139-origin,139,origin,origin-kw,KW,
139-comp,139,comp,comp-yes,yes,
139-genre,139,genre,genre-spoken,spoken,
140-rmform,140,rmform,,cuyo ~ cuya,
140-ncases,140,ncases,ncases-0,0,
140-nclass,140,nclass,nclass-2,2,
140-nnumber,140,nnumber,nnumber-2,2,
140-int,140,int,int-related,related,
140-origin,140,origin,origin-kw,KW,
140-comp,140,comp,comp-no,no,
140-genre,140,genre,genre-written,written,
141-rmform,141,rmform,,que ~ quem,
141-ncases,141,ncases,ncases-2,2,
141-nclass,141,nclass,nclass-0,0,
141-nnumber,141,nnumber,nnumber-0,0,
141-int,141,int,int-yes,yes,
141-origin,141,origin,origin-kw,KW,
141-comp,141,comp,comp-yes,yes,
141-genre,141,genre,genre-spoken,spoken,
142-rmform,142,rmform,,cujo ~ cuja,
142-ncases,142,ncases,ncases-0,0,
142-nclass,142,nclass,nclass-2,2,
142-nnumber,142,nnumber,nnumber-2,2,
142-int,142,int,int-related,related,
142-origin,142,origin,origin-kw,KW,
142-comp,142,comp,comp-no,no,
142-genre,142,genre,genre-both,both,
143-rmform,143,rmform,,care,
143-ncases,143,ncases,ncases-2,2,
143-nclass,143,nclass,nclass-2,2,
143-nnumber,143,nnumber,nnumber-2,2,
143-int,143,int,int-yes,yes,
143-origin,143,origin,origin-kw,KW,
143-comp,143,comp,comp-no,no,
143-genre,143,genre,genre-both,both,
144-rmform,144,rmform,,de,
144-ncases,144,ncases,ncases-0,0,
144-nclass,144,nclass,nclass-0,0,
144-nnumber,144,nnumber,nnumber-0,0,
144-int,144,int,int-no,no,
144-origin,144,origin,origin-na,NA,
144-comp,144,comp,comp-no,no,
144-genre,144,genre,genre-spoken,spoken,
145-rmform,145,rmform,,chi,
145-ncases,145,ncases,ncases-0,0,
145-nclass,145,nclass,nclass-0,0,
145-nnumber,145,nnumber,nnumber-0,0,
145-int,145,int,int-yes,yes,
145-origin,145,origin,origin-kw,KW,
145-comp,145,comp,comp-yes,yes,
145-genre,145,genre,genre-spoken,spoken,
146-rmform,146,rmform,,kus=ne,
146-ncases,146,ncases,ncases-3,3,
146-nclass,146,nclass,nclass-0,0,
146-nnumber,146,nnumber,nnumber-2,2,
146-int,146,int,int-yes,yes,
146-origin,146,origin,origin-kwto,KW+TO,
146-comp,146,comp,comp-no,no,
146-genre,146,genre,genre-written,written,
147-rmform,147,rmform,,äntsaṃ,
147-ncases,147,ncases,ncases-3,3,
147-nclass,147,nclass,nclass-3,3,
147-nnumber,147,nnumber,nnumber-2,2,
147-int,147,int,int-yes,yes,
147-origin,147,origin,origin-na,NA,
147-comp,147,comp,comp-no,no,
147-genre,147,genre,genre-written,written,
148-rmform,148,rmform,,kuse,
148-ncases,148,ncases,ncases-3,3,
148-nclass,148,nclass,nclass-0,0,
148-nnumber,148,nnumber,nnumber-0,0,
148-int,148,int,int-yes,yes,
148-origin,148,origin,origin-kwto,KW+TO,
148-comp,148,comp,comp-no,no,
148-genre,148,genre,genre-written,written,
149-rmform,149,rmform,,intsu,
149-ncases,149,ncases,ncases-3,3,
149-nclass,149,nclass,nclass-3,3,
149-nnumber,149,nnumber,nnumber-2,2,
149-int,149,int,int-yes,yes,
149-origin,149,origin,origin-na,NA,
149-comp,149,comp,comp-no,no,
149-genre,149,genre,genre-written,written,
150-rmform,150,rmform,,mäksu,
150-ncases,150,ncases,ncases-3,3,
150-nclass,150,nclass,nclass-3,3,
150-nnumber,150,nnumber,nnumber-2,2,
150-int,150,int,int-yes,yes,
150-origin,150,origin,origin-na,NA,
150-comp,150,comp,comp-no,no,
150-genre,150,genre,genre-written,written,
