ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
gheg1238-ncases-1,gheg1238,ncases,0,ncases-0,,
gheg1238-nclass-1,gheg1238,nclass,0,nclass-0,,
gheg1238-nnumber-1,gheg1238,nnumber,0,nnumber-0,,
gheg1238-int-1,gheg1238,int,relatedmaybe,int-relatedmaybe,,
gheg1238-origin-1,gheg1238,origin,KW or L,origin-kworl,,
gheg1238-comp-1,gheg1238,comp,yes,comp-yes,,
gheg1238-genre-1,gheg1238,genre,spoken,genre-spoken,,
gheg1238-ncases-2,gheg1238,ncases,3,ncases-3,,
gheg1238-nclass-2,gheg1238,nclass,2,nclass-2,,
gheg1238-nnumber-2,gheg1238,nnumber,2,nnumber-2,,
gheg1238-int-2,gheg1238,int,yes,int-yes,,
gheg1238-origin-2,gheg1238,origin,KW,origin-kw,,
gheg1238-comp-2,gheg1238,comp,no,comp-no,,
gheg1238-genre-2,gheg1238,genre,written,genre-written,,
tosk1239-ncases-3,tosk1239,ncases,0,ncases-0,,
tosk1239-nclass-3,tosk1239,nclass,0,nclass-0,,
tosk1239-nnumber-3,tosk1239,nnumber,0,nnumber-0,,
tosk1239-int-3,tosk1239,int,relatedmaybe,int-relatedmaybe,,
tosk1239-origin-3,tosk1239,origin,KW or L,origin-kworl,,
tosk1239-comp-3,tosk1239,comp,yes,comp-yes,,
tosk1239-genre-3,tosk1239,genre,spoken,genre-spoken,,
tosk1239-ncases-4,tosk1239,ncases,3,ncases-3,,
tosk1239-nclass-4,tosk1239,nclass,2,nclass-2,,
tosk1239-nnumber-4,tosk1239,nnumber,2,nnumber-2,,
tosk1239-int-4,tosk1239,int,yes,int-yes,,
tosk1239-origin-4,tosk1239,origin,KW,origin-kw,,
tosk1239-comp-4,tosk1239,comp,no,comp-no,,
tosk1239-genre-4,tosk1239,genre,written,genre-written,,
hitt1242-ncases-5,hitt1242,ncases,5,ncases-5,,
hitt1242-nclass-5,hitt1242,nclass,2,nclass-2,,
hitt1242-nnumber-5,hitt1242,nnumber,2,nnumber-2,,
hitt1242-int-5,hitt1242,int,yes,int-yes,,
hitt1242-origin-5,hitt1242,origin,KW,origin-kw,,
hitt1242-comp-5,hitt1242,comp,yes,comp-yes,,
hitt1242-genre-5,hitt1242,genre,written,genre-written,,
cune1239-ncases-6,cune1239,ncases,4,ncases-4,,
cune1239-nclass-6,cune1239,nclass,2,nclass-2,,
cune1239-nnumber-6,cune1239,nnumber,2,nnumber-2,,
cune1239-int-6,cune1239,int,yes,int-yes,,
cune1239-origin-6,cune1239,origin,KW,origin-kw,,
cune1239-comp-6,cune1239,comp,NA,comp-na,,
cune1239-genre-6,cune1239,genre,written,genre-written,,
hier1240-ncases-7,hier1240,ncases,4,ncases-4,,
hier1240-nclass-7,hier1240,nclass,2,nclass-2,,
hier1240-nnumber-7,hier1240,nnumber,2,nnumber-2,,
hier1240-int-7,hier1240,int,yes,int-yes,,
hier1240-origin-7,hier1240,origin,KW,origin-kw,,
hier1240-comp-7,hier1240,comp,NA,comp-na,,
hier1240-genre-7,hier1240,genre,written,genre-written,,
clas1249-ncases-8,clas1249,ncases,5,ncases-5,,
clas1249-nclass-8,clas1249,nclass,0,nclass-0,,
clas1249-nnumber-8,clas1249,nnumber,2,nnumber-2,,
clas1249-int-8,clas1249,int,yes,int-yes,,
clas1249-origin-8,clas1249,origin,NA,origin-na,,
clas1249-comp-8,clas1249,comp,no,comp-no,,
clas1249-genre-8,clas1249,genre,written,genre-written,,
nucl1235-ncases-9,nucl1235,ncases,5,ncases-5,,
nucl1235-nclass-9,nucl1235,nclass,0,nclass-0,,
nucl1235-nnumber-9,nucl1235,nnumber,2,nnumber-2,,
nucl1235-int-9,nucl1235,int,yes,int-yes,,
nucl1235-origin-9,nucl1235,origin,NA,origin-na,,
nucl1235-comp-9,nucl1235,comp,yes,comp-yes,,
nucl1235-genre-9,nucl1235,genre,both,genre-both,,
nucl1235-ncases-10,nucl1235,ncases,5,ncases-5,,
nucl1235-nclass-10,nucl1235,nclass,0,nclass-0,,
nucl1235-nnumber-10,nucl1235,nnumber,0,nnumber-0,,
nucl1235-int-10,nucl1235,int,yes,int-yes,,
nucl1235-origin-10,nucl1235,origin,NA,origin-na,,
nucl1235-comp-10,nucl1235,comp,yes,comp-yes,,
nucl1235-genre-10,nucl1235,genre,both,genre-both,,
prus1238-ncases-11,prus1238,ncases,4,ncases-4,,
prus1238-nclass-11,prus1238,nclass,3,nclass-3,,
prus1238-nnumber-11,prus1238,nnumber,2,nnumber-2,,
prus1238-int-11,prus1238,int,yes,int-yes,,
prus1238-origin-11,prus1238,origin,KW+YO,origin-kwyo,,
prus1238-comp-11,prus1238,comp,NA,comp-na,,
prus1238-genre-11,prus1238,genre,written,genre-written,,
prus1238-ncases-12,prus1238,ncases,4,ncases-4,,
prus1238-nclass-12,prus1238,nclass,3,nclass-3,,
prus1238-nnumber-12,prus1238,nnumber,2,nnumber-2,,
prus1238-int-12,prus1238,int,yes,int-yes,,
prus1238-origin-12,prus1238,origin,NA,origin-na,,
prus1238-comp-12,prus1238,comp,NA,comp-na,,
prus1238-genre-12,prus1238,genre,written,genre-written,,
oldl1240-ncases-13,oldl1240,ncases,7,ncases-7,,
oldl1240-nclass-13,oldl1240,nclass,0,nclass-0,,
oldl1240-nnumber-13,oldl1240,nnumber,0,nnumber-0,,
oldl1240-int-13,oldl1240,int,yes,int-yes,,
oldl1240-origin-13,oldl1240,origin,KW+YO,origin-kwyo,,
oldl1240-comp-13,oldl1240,comp,no,comp-no,,
oldl1240-genre-13,oldl1240,genre,written,genre-written,,
lith1251-ncases-14,lith1251,ncases,6,ncases-6,,
lith1251-nclass-14,lith1251,nclass,0,nclass-0,,
lith1251-nnumber-14,lith1251,nnumber,0,nnumber-0,,
lith1251-int-14,lith1251,int,yes,int-yes,,
lith1251-origin-14,lith1251,origin,KW+YO,origin-kwyo,,
lith1251-comp-14,lith1251,comp,no,comp-no,,
lith1251-genre-14,lith1251,genre,both,genre-both,,
lith1251-ncases-15,lith1251,ncases,6,ncases-6,,
lith1251-nclass-15,lith1251,nclass,2,nclass-2,,
lith1251-nnumber-15,lith1251,nnumber,2,nnumber-2,,
lith1251-int-15,lith1251,int,yes,int-yes,,
lith1251-origin-15,lith1251,origin,NA,origin-na,,
lith1251-comp-15,lith1251,comp,no,comp-no,,
lith1251-genre-15,lith1251,genre,both,genre-both,,
latv1249-ncases-16,latv1249,ncases,5,ncases-5,,
latv1249-nclass-16,latv1249,nclass,0,nclass-0,,
latv1249-nnumber-16,latv1249,nnumber,0,nnumber-0,,
latv1249-int-16,latv1249,int,yes,int-yes,,
latv1249-origin-16,latv1249,origin,KW+YO,origin-kwyo,,
latv1249-comp-16,latv1249,comp,no,comp-no,,
latv1249-genre-16,latv1249,genre,both,genre-both,,
latv1249-ncases-17,latv1249,ncases,5,ncases-5,,
latv1249-nclass-17,latv1249,nclass,2,nclass-2,,
latv1249-nnumber-17,latv1249,nnumber,2,nnumber-2,,
latv1249-int-17,latv1249,int,yes,int-yes,,
latv1249-origin-17,latv1249,origin,NA,origin-na,,
latv1249-comp-17,latv1249,comp,no,comp-no,,
latv1249-genre-17,latv1249,genre,both,genre-both,,
oldr1238-ncases-18,oldr1238,ncases,6,ncases-6,,
oldr1238-nclass-18,oldr1238,nclass,3,nclass-3,,
oldr1238-nnumber-18,oldr1238,nnumber,3,nnumber-3,,
oldr1238-int-18,oldr1238,int,no,int-no,,
oldr1238-origin-18,oldr1238,origin,YO,origin-yo,,
oldr1238-comp-18,oldr1238,comp,no,comp-no,,
oldr1238-genre-18,oldr1238,genre,written,genre-written,,
russ1263-ncases-19,russ1263,ncases,0,ncases-0,,
russ1263-nclass-19,russ1263,nclass,0,nclass-0,,
russ1263-nnumber-19,russ1263,nnumber,0,nnumber-0,,
russ1263-int-19,russ1263,int,yes,int-yes,,
russ1263-origin-19,russ1263,origin,KW,origin-kw,,
russ1263-comp-19,russ1263,comp,yes,comp-yes,,
russ1263-genre-19,russ1263,genre,spoken,genre-spoken,,
russ1263-ncases-20,russ1263,ncases,5,ncases-5,,
russ1263-nclass-20,russ1263,nclass,3,nclass-3,,
russ1263-nnumber-20,russ1263,nnumber,2,nnumber-2,,
russ1263-int-20,russ1263,int,yes,int-yes,,
russ1263-origin-20,russ1263,origin,KW,origin-kw,,
russ1263-comp-20,russ1263,comp,no,comp-no,,
russ1263-genre-20,russ1263,genre,both,genre-both,,
chur1257-ncases-21,chur1257,ncases,6,ncases-6,,
chur1257-nclass-21,chur1257,nclass,3,nclass-3,,
chur1257-nnumber-21,chur1257,nnumber,3,nnumber-3,,
chur1257-int-21,chur1257,int,no,int-no,,
chur1257-origin-21,chur1257,origin,YO,origin-yo,,
chur1257-comp-21,chur1257,comp,no,comp-no,,
chur1257-genre-21,chur1257,genre,written,genre-written,,
bulg1262-ncases-22,bulg1262,ncases,0,ncases-0,,
bulg1262-nclass-22,bulg1262,nclass,0,nclass-0,,
bulg1262-nnumber-22,bulg1262,nnumber,0,nnumber-0,,
bulg1262-int-22,bulg1262,int,related,int-related,,
bulg1262-origin-22,bulg1262,origin,KW,origin-kw,,
bulg1262-comp-22,bulg1262,comp,yes,comp-yes,,
bulg1262-genre-22,bulg1262,genre,spoken,genre-spoken,,
bulg1262-ncases-23,bulg1262,ncases,3,ncases-3,,
bulg1262-nclass-23,bulg1262,nclass,3,nclass-3,,
bulg1262-nnumber-23,bulg1262,nnumber,2,nnumber-2,,
bulg1262-int-23,bulg1262,int,related,int-related,,
bulg1262-origin-23,bulg1262,origin,KW,origin-kw,,
bulg1262-comp-23,bulg1262,comp,no,comp-no,,
bulg1262-genre-23,bulg1262,genre,both,genre-both,,
sout1528-ncases-24,sout1528,ncases,4,ncases-4,,
sout1528-nclass-24,sout1528,nclass,3,nclass-3,,
sout1528-nnumber-24,sout1528,nnumber,2,nnumber-2,,
sout1528-int-24,sout1528,int,yes,int-yes,,
sout1528-origin-24,sout1528,origin,KW,origin-kw,,
sout1528-comp-24,sout1528,comp,no,comp-no,,
sout1528-genre-24,sout1528,genre,spoken,genre-spoken,,
sout1528-ncases-25,sout1528,ncases,0,ncases-0,,
sout1528-nclass-25,sout1528,nclass,0,nclass-0,,
sout1528-nnumber-25,sout1528,nnumber,0,nnumber-0,,
sout1528-int-25,sout1528,int,yes,int-yes,,
sout1528-origin-25,sout1528,origin,KW,origin-kw,,
sout1528-comp-25,sout1528,comp,yes,comp-yes,,
sout1528-genre-25,sout1528,genre,spoken,genre-spoken,,
slov1268-ncases-26,slov1268,ncases,0,ncases-0,,
slov1268-nclass-26,slov1268,nclass,0,nclass-0,,
slov1268-nnumber-26,slov1268,nnumber,0,nnumber-0,,
slov1268-int-26,slov1268,int,no,int-no,,
slov1268-origin-26,slov1268,origin,NA,origin-na,,
slov1268-comp-26,slov1268,comp,no,comp-no,,
slov1268-genre-26,slov1268,genre,spoken,genre-spoken,,
slov1268-ncases-27,slov1268,ncases,5,ncases-5,,
slov1268-nclass-27,slov1268,nclass,3,nclass-3,,
slov1268-nnumber-27,slov1268,nnumber,3,nnumber-3,,
slov1268-int-27,slov1268,int,yes,int-yes,,
slov1268-origin-27,slov1268,origin,KW,origin-kw,,
slov1268-comp-27,slov1268,comp,no,comp-no,,
slov1268-genre-27,slov1268,genre,spoken,genre-spoken,,
czec1258-ncases-28,czec1258,ncases,6,ncases-6,,
czec1258-nclass-28,czec1258,nclass,3,nclass-3,,
czec1258-nnumber-28,czec1258,nnumber,2,nnumber-2,,
czec1258-int-28,czec1258,int,yes,int-yes,,
czec1258-origin-28,czec1258,origin,KW,origin-kw,,
czec1258-comp-28,czec1258,comp,no,comp-no,,
czec1258-genre-28,czec1258,genre,both,genre-both,,
czec1258-ncases-29,czec1258,ncases,0,ncases-0,,
czec1258-nclass-29,czec1258,nclass,0,nclass-0,,
czec1258-nnumber-29,czec1258,nnumber,0,nnumber-0,,
czec1258-int-29,czec1258,int,yes,int-yes,,
czec1258-origin-29,czec1258,origin,KW,origin-kw,,
czec1258-comp-29,czec1258,comp,yes,comp-yes,,
czec1258-genre-29,czec1258,genre,spoken,genre-spoken,,
czec1258-ncases-30,czec1258,ncases,6,ncases-6,,
czec1258-nclass-30,czec1258,nclass,3,nclass-3,,
czec1258-nnumber-30,czec1258,nnumber,2,nnumber-2,,
czec1258-int-30,czec1258,int,no,int-no,,
czec1258-origin-30,czec1258,origin,YO,origin-yo,,
czec1258-comp-30,czec1258,comp,no,comp-no,,
czec1258-genre-30,czec1258,genre,written,genre-written,,
poli1260-ncases-31,poli1260,ncases,4,ncases-4,,
poli1260-nclass-31,poli1260,nclass,3,nclass-3,,
poli1260-nnumber-31,poli1260,nnumber,2,nnumber-2,,
poli1260-int-31,poli1260,int,yes,int-yes,,
poli1260-origin-31,poli1260,origin,KW,origin-kw,,
poli1260-comp-31,poli1260,comp,no,comp-no,,
poli1260-genre-31,poli1260,genre,both,genre-both,,
poli1260-ncases-32,poli1260,ncases,4,ncases-4,,
poli1260-nclass-32,poli1260,nclass,3,nclass-3,,
poli1260-nnumber-32,poli1260,nnumber,2,nnumber-2,,
poli1260-int-32,poli1260,int,yes,int-yes,,
poli1260-origin-32,poli1260,origin,NA,origin-na,,
poli1260-comp-32,poli1260,comp,no,comp-no,,
poli1260-genre-32,poli1260,genre,both,genre-both,,
poli1260-ncases-33,poli1260,ncases,0,ncases-0,,
poli1260-nclass-33,poli1260,nclass,0,nclass-0,,
poli1260-nnumber-33,poli1260,nnumber,0,nnumber-0,,
poli1260-int-33,poli1260,int,yes,int-yes,,
poli1260-origin-33,poli1260,origin,KW,origin-kw,,
poli1260-comp-33,poli1260,comp,no,comp-no,,
poli1260-genre-33,poli1260,genre,spoken,genre-spoken,,
uppe1395-ncases-34,uppe1395,ncases,4,ncases-4,,
uppe1395-nclass-34,uppe1395,nclass,2,nclass-2,,
uppe1395-nnumber-34,uppe1395,nnumber,2,nnumber-2,,
uppe1395-int-34,uppe1395,int,yes,int-yes,,
uppe1395-origin-34,uppe1395,origin,KW,origin-kw,,
uppe1395-comp-34,uppe1395,comp,no,comp-no,,
uppe1395-genre-34,uppe1395,genre,both,genre-both,,
uppe1395-ncases-35,uppe1395,ncases,4,ncases-4,,
uppe1395-nclass-35,uppe1395,nclass,3,nclass-3,,
uppe1395-nnumber-35,uppe1395,nnumber,2,nnumber-2,,
uppe1395-int-35,uppe1395,int,yes,int-yes,,
uppe1395-origin-35,uppe1395,origin,KW,origin-kw,,
uppe1395-comp-35,uppe1395,comp,no,comp-no,,
uppe1395-genre-35,uppe1395,genre,both,genre-both,,
tran1282-ncases-36,tran1282,ncases,0,ncases-0,,
tran1282-nclass-36,tran1282,nclass,0,nclass-0,,
tran1282-nnumber-36,tran1282,nnumber,0,nnumber-0,,
tran1282-int-36,tran1282,int,no,int-no,,
tran1282-origin-36,tran1282,origin,YO,origin-yo,,
tran1282-comp-36,tran1282,comp,NA,comp-na,,
tran1282-genre-36,tran1282,genre,written,genre-written,,
wels1247-ncases-37,wels1247,ncases,2,ncases-2,,
wels1247-nclass-37,wels1247,nclass,0,nclass-0,,
wels1247-nnumber-37,wels1247,nnumber,0,nnumber-0,,
wels1247-int-37,wels1247,int,no,int-no,,
wels1247-origin-37,wels1247,origin,NA,origin-na,,
wels1247-comp-37,wels1247,comp,no,comp-no,,
wels1247-genre-37,wels1247,genre,spoken,genre-spoken,,
wels1247-ncases-38,wels1247,ncases,0,ncases-0,,
wels1247-nclass-38,wels1247,nclass,0,nclass-0,,
wels1247-nnumber-38,wels1247,nnumber,0,nnumber-0,,
wels1247-int-38,wels1247,int,yes,int-yes,,
wels1247-origin-38,wels1247,origin,NA,origin-na,,
wels1247-comp-38,wels1247,comp,no,comp-no,,
wels1247-genre-38,wels1247,genre,spoken,genre-spoken,,
oldi1245-ncases-39,oldi1245,ncases,0,ncases-0,,
oldi1245-nclass-39,oldi1245,nclass,0,nclass-0,,
oldi1245-nnumber-39,oldi1245,nnumber,0,nnumber-0,,
oldi1245-int-39,oldi1245,int,no,int-no,,
oldi1245-origin-39,oldi1245,origin,NA,origin-na,,
oldi1245-comp-39,oldi1245,comp,NA,comp-na,,
oldi1245-genre-39,oldi1245,genre,written,genre-written,,
iris1253-ncases-40,iris1253,ncases,0,ncases-0,,
iris1253-nclass-40,iris1253,nclass,0,nclass-0,,
iris1253-nnumber-40,iris1253,nnumber,0,nnumber-0,,
iris1253-int-40,iris1253,int,no,int-no,,
iris1253-origin-40,iris1253,origin,NA,origin-na,,
iris1253-comp-40,iris1253,comp,no,comp-no,,
iris1253-genre-40,iris1253,genre,spoken,genre-spoken,,
goth1244-ncases-41,goth1244,ncases,0,ncases-0,,
goth1244-nclass-41,goth1244,nclass,0,nclass-0,,
goth1244-nnumber-41,goth1244,nnumber,0,nnumber-0,,
goth1244-int-41,goth1244,int,no,int-no,,
goth1244-origin-41,goth1244,origin,NA,origin-na,,
goth1244-comp-41,goth1244,comp,no,comp-no,,
goth1244-genre-41,goth1244,genre,written,genre-written,,
goth1244-ncases-42,goth1244,ncases,0,ncases-0,,
goth1244-nclass-42,goth1244,nclass,0,nclass-0,,
goth1244-nnumber-42,goth1244,nnumber,0,nnumber-0,,
goth1244-int-42,goth1244,int,no,int-no,,
goth1244-origin-42,goth1244,origin,NA,origin-na,,
goth1244-comp-42,goth1244,comp,yes,comp-yes,,
goth1244-genre-42,goth1244,genre,written,genre-written,,
goth1244-ncases-43,goth1244,ncases,4,ncases-4,,
goth1244-nclass-43,goth1244,nclass,3,nclass-3,,
goth1244-nnumber-43,goth1244,nnumber,2,nnumber-2,,
goth1244-int-43,goth1244,int,no,int-no,,
goth1244-origin-43,goth1244,origin,TO,origin-to,,
goth1244-comp-43,goth1244,comp,no,comp-no,,
goth1244-genre-43,goth1244,genre,written,genre-written,,
oldn1244-ncases-44,oldn1244,ncases,0,ncases-0,,
oldn1244-nclass-44,oldn1244,nclass,0,nclass-0,,
oldn1244-nnumber-44,oldn1244,nnumber,0,nnumber-0,,
oldn1244-int-44,oldn1244,int,no,int-no,,
oldn1244-origin-44,oldn1244,origin,ONE,origin-one,,
oldn1244-comp-44,oldn1244,comp,no,comp-no,,
oldn1244-genre-44,oldn1244,genre,written,genre-written,,
swed1254-ncases-45,swed1254,ncases,0,ncases-0,,
swed1254-nclass-45,swed1254,nclass,0,nclass-0,,
swed1254-nnumber-45,swed1254,nnumber,0,nnumber-0,,
swed1254-int-45,swed1254,int,no,int-no,,
swed1254-origin-45,swed1254,origin,ONE,origin-one,,
swed1254-comp-45,swed1254,comp,no,comp-no,,
swed1254-genre-45,swed1254,genre,spoken,genre-spoken,,
swed1254-ncases-46,swed1254,ncases,0,ncases-0,,
swed1254-nclass-46,swed1254,nclass,0,nclass-0,,
swed1254-nnumber-46,swed1254,nnumber,2,nnumber-2,,
swed1254-int-46,swed1254,int,yes,int-yes,,
swed1254-origin-46,swed1254,origin,KW,origin-kw,,
swed1254-comp-46,swed1254,comp,no,comp-no,,
swed1254-genre-46,swed1254,genre,written,genre-written,,
swed1254-ncases-47,swed1254,ncases,0,ncases-0,,
swed1254-nclass-47,swed1254,nclass,0,nclass-0,,
swed1254-nnumber-47,swed1254,nnumber,2,nnumber-2,,
swed1254-int-47,swed1254,int,yes,int-yes,,
swed1254-origin-47,swed1254,origin,KW,origin-kw,,
swed1254-comp-47,swed1254,comp,no,comp-no,,
swed1254-genre-47,swed1254,genre,written,genre-written,,
norw1258-ncases-48,norw1258,ncases,0,ncases-0,,
norw1258-nclass-48,norw1258,nclass,0,nclass-0,,
norw1258-nnumber-48,norw1258,nnumber,0,nnumber-0,,
norw1258-int-48,norw1258,int,no,int-no,,
norw1258-origin-48,norw1258,origin,ONE,origin-one,,
norw1258-comp-48,norw1258,comp,no,comp-no,,
norw1258-genre-48,norw1258,genre,spoken,genre-spoken,,
norw1258-ncases-49,norw1258,ncases,0,ncases-0,,
norw1258-nclass-49,norw1258,nclass,2,nclass-2,,
norw1258-nnumber-49,norw1258,nnumber,0,nnumber-0,,
norw1258-int-49,norw1258,int,yes,int-yes,,
norw1258-origin-49,norw1258,origin,KW,origin-kw,,
norw1258-comp-49,norw1258,comp,no,comp-no,,
norw1258-genre-49,norw1258,genre,written,genre-written,,
afri1274-ncases-50,afri1274,ncases,0,ncases-0,,
afri1274-nclass-50,afri1274,nclass,0,nclass-0,,
